Full string,Main Abrev,Other  1,Other  2,Other 3,Other 4,Other 5,Other 6,Other 7,Other 8
doing business as,dba,d b a,also known as,aka,a k a,operating as,operating under,also,
formerly known as,fka,f k a,formerly,,,,,,
succesor to,succ,succesor of,,,,,,,
merged with,merged,merging with,merged to,,,,,,
joint venture between,jv,j v,joint venture of,joint venture,jv between,,,,
partnership,prtnr,partner,,,,,,,
subsidiary of,sub,subsidiary to,subsidiary,,,,,,
member of,mbr,member,,,,,,,
division of,div,division,,,,,,,
department of,dept,department,,,,,,,
research foundation of,rf,,,,,,,,
trustees of,trustee,,,,,,,,
school of,school,,,,,,,,
board of,board,,,,,,,,
regents of,regents,,,,,,,,
assignee of,assignee,,,,,,,,
assignor of,assignor,,,,,,,,
licensee of,licensee,,,,,,,,
licensor of,licensor,,,,,,,,