company type,acronym
AKTIEBOLAG,AB
CORPORATION,CORP
PRIVATE LIMITED,PTE LTD
proprietary limited,PTY LTD
private limited,PVT LTD
Gesellschaft mit beschränkter Haftung ,GMBH
Gesellschaft,GMBH
Limited Liability Company,LLC
General partnership,GP
Limited partnership,LP
Limited Liability Partnership,LLP
Limited Liability Limited Partnership,LLLP
Professional Limited Liability Company,PLLC
Incorporated,INC
Aktsiaselts,AS
Sociedad Limitada,SL
Aksjeselskap,AS
mit beschränkter Haftung,MBH
public limited company,PLC
,ABP
besloten vennootschap ,BV
societé anonyme,SA
LIMITED B Parternship,LP
LIMITED C Parternship,LP
kabushiki kaisha,KK
godo kaisha,GK
yugen kaisha,YK
gomei kaisha,GMK
goshi kaisha,GSK
nini kumiai,NK
tokumei kumiai,TK
Aktiengesellschaft,AG
offene Gesellschaft,OG
Kommanditgesellschaft,KG
Offene Erwerbsgesellschaft,OEG
Kommanditerwerbsgesellschaft,KEG
Societa per azioni,SPA
Società a responsabilità limitata,SRL
société privée à responsabilité limitée,SPRL
Société à Résponsabilté Limitée,SARL
GROUP,GROUP
HOLDINGS,HOLDINGS
INDUSTRIES,
Limitada,LDA
besloten vennootschap met beperkte aansprakelijkheid,BVBA
COMPANY,CO
LIMITED,LTD
Intellectual Property,IP
Société par actions simplifiée,SAS
Naamloze Vennootschap,NV
Societas Europea,SE
aktiebolaget,ab
company limited,coltd
Limitada ,ltda
Trust,TR